,NO-N,NO-S
0,137328.96579020156,286808.6904032439
1,136834.02483652165,333523.1876443902
2,139103.53199325388,333899.10976645513
3,146965.70465927076,339280.01370235556
4,144990.4365599169,314379.0434071601
5,144876.3457484789,306933.9254068483
6,139855.59972611145,296672.3156101704
7,146647.58985817118,341697.06968131766
8,148376.39298454212,343503.08111664746
9,137063.82368179143,333557.22280261666
10,137172.48608415254,342675.66044358816
11,137233.0458341678,317106.2014161992
12,134831.62395949085,316188.5336272281
13,133002.29505484557,297662.8374553593
14,133065.2808672117,313645.86330512515
15,139106.1485620062,323136.5060046049
16,143285.59664160048,318153.93386777537
17,146469.10098536918,310644.35288674966
18,150058.53631770937,323462.4573440762
19,139850.61361957897,322177.8514654696
20,135278.71147290088,311937.5296130144
21,140596.5116904081,332799.45351124066
22,140768.31402158004,327508.2378100018
23,145182.58288121465,335101.5002801154
24,142349.06810149498,328016.6051560466
25,136187.6239942364,302427.57737519755
26,136570.92915377585,311020.01510984125
27,133814.3172057305,294971.3213401065
28,138288.4100897424,330562.25792278
29,139553.40049461232,331649.48844817816
30,133994.09400189464,316656.3614298027
31,143006.87429307742,308567.2886019206
32,146209.07331807178,303881.68677965447
33,142330.48415579012,288336.93832835386
34,138503.3828732295,286044.907750931
35,146929.9228040224,309466.8226339655
36,141900.77890529807,319176.1688525901
37,141016.70092900595,327146.5894593865
38,144312.91573592438,336516.9459416603
39,143354.39636908847,325725.9355712558
40,141767.00078251012,308576.8131498511
41,139857.80606108764,304048.11827452725
42,140971.45630622737,308569.4255814691
43,148183.39248457833,315970.7121486199
44,145018.34228177776,305571.85104895954
45,148758.87056342268,270823.5831542391
46,147084.70896822424,265404.5443183202
47,143071.52456330368,260849.31418403285
48,144379.8567001586,274354.6471396274
49,158610.21527263412,304534.21724371274
50,153763.1063746471,292009.19586955407
51,146585.44148996306,279031.52291409974
52,147385.04465114715,293867.4667441777
53,145403.20512738734,281662.53471476183
54,142738.28588799684,260976.82256482774
55,138137.53505102452,281067.79229566
56,135025.18994881376,310189.5558452419
57,138283.62673129383,326614.143570314
58,138780.31279691315,329009.4224467915
59,136923.03640943283,323381.0747473235
60,138270.41985919874,314054.27726475976
61,128898.16301871388,307256.80136746715
62,128618.2893109555,287115.4087926821
63,135632.08242743072,309921.1524946687
64,141704.33593004508,298541.81099864305
65,142361.8483347737,296348.0993334269
66,143706.69441903074,309593.68170854734
67,142297.52283443624,302925.63370535657
68,130079.2870545287,281690.72256114485
69,126828.43809107444,284189.34988331626
70,136733.439697922,301572.9011733018
71,142811.16345218953,280129.29975488
72,132835.6827145298,296236.30335436924
73,133319.05888248375,263842.2678551239
74,132218.37350954636,271174.2014919168
75,128938.860363813,264936.89967463625
76,129843.45012550094,273314.3394641799
77,140084.31748500874,300505.98182216537
78,131610.82773220688,297111.12538107566
79,141097.22238210574,279886.3492511236
80,145171.28348954284,293727.9914360648
81,144096.3780279588,295011.6819360673
82,129439.99315254387,288979.3266080386
83,130637.37981660108,281728.7022040316
84,138582.87637335688,281821.6263337055
85,143563.7272002742,276367.2316777884
86,142051.16904342422,283619.72313382017
87,138606.02682581163,260500.7578870525
88,134455.469518609,262426.95584673586
89,130100.4423369318,243193.91303179628
90,121575.16527310156,231226.40321642577
91,132619.99375176325,254986.9340998461
92,128582.1246359456,247738.5263250989
93,124045.616462026,260840.53369289025
94,122274.87374716856,268378.039323183
95,122048.12178879452,256572.14833930705
96,121102.10098095881,221440.62696236745
97,120428.54205266183,228779.7020623872
98,125091.34805989882,238626.7066756615
99,116634.05265372444,236332.05898029826
100,114751.61648321824,269100.10927902797
101,112416.98827553999,218612.04444714024
102,112058.53185769217,244915.30123521094
103,123976.04372686462,261115.1354168825
104,125292.00837703052,239176.50672509742
105,126078.80929419713,252548.2544138402
106,127399.05183126198,284465.4135330344
107,125385.49399287722,287177.16513393086
108,131882.50880997116,281540.43551617616
109,127960.07110933258,262496.55115975626
110,125503.36946008293,220137.39848228334
111,119767.99976589823,241816.71286693265
112,125016.30777156455,251378.67286790235
113,121230.61227391002,262442.00066951045
114,116105.95248585564,254636.0106305597
115,109371.98555208462,244366.82585524727
116,114868.28689762208,243543.2794843224
117,103529.51684206267,251364.6650044977
118,105737.95800669151,230228.3834814495
119,114163.9699787806,249815.04087958092
120,110409.60019208722,233438.03496258662
121,120887.69831446261,238854.96852154317
122,109233.12964369061,216962.98139071304
123,117104.8010196168,222717.2111907131
124,108948.1673774037,203224.33735002356
125,114370.39328341922,210595.3523398714
126,118173.46468436536,212041.90751606796
127,117915.03348707025,204552.5846389295
128,117535.21623994783,208081.97046154796
129,121883.381261199,198137.5057986718
130,126986.98106608866,216068.8505325155
131,114722.4840777898,224500.383013358
132,114247.8799843102,220431.20479578164
133,121298.05522649479,250234.49606849937
134,119044.2871840227,250212.39251110947
135,116732.64078584421,267221.7175026711
136,114064.17270013907,226336.65484815964
137,119464.49335975831,234436.01186857198
138,118752.36615650056,190814.65204206586
139,119874.59985784847,200367.33379088098
140,127373.12987191638,233849.05627823796
141,119604.72242445103,250738.8388840108
142,110416.43843691882,227907.57811948977
143,102959.53295119849,203682.57420976693
144,115180.83551414812,202737.41750876492
145,108261.82294749895,198529.6852042079
146,105321.07984926824,174836.67226155836
147,113879.48753037507,198800.27243782807
148,111039.90206854991,213987.91002986414
149,110043.65842339187,193736.05095154012
150,106748.5811776408,210616.60954653283
151,106908.02229348964,198002.00870774535
152,100613.69398945771,201132.329172456
153,99184.01164946494,187220.04367146333
154,102798.29889613957,171807.75944268904
155,114694.34410580543,194197.99194363374
156,117566.59465946944,216933.55307466438
157,124449.75452248861,214523.34140210217
158,115018.97193498793,214536.8788350482
159,106262.93278563269,219788.75288861932
160,108861.92968134553,190947.3094113965
161,110265.18508745503,236154.71019950474
162,109940.31549313103,218550.87108799646
163,107469.0060645918,218085.8934858978
164,111053.45115963978,211697.07824246451
165,115269.72614668492,208330.27994861748
166,103118.26748473724,179265.29609901237
167,102214.3700790315,199450.97473436283
168,98648.7140147257,215557.2190203964
169,99814.68224520358,218323.66073859876
170,103825.0483876308,191752.6112206783
171,109309.90859119242,192353.22353469196
172,108491.9071041482,189245.24938865198
173,109074.25992052928,168967.00184045677
174,105300.33457623466,168130.95323027732
175,111067.82005903561,178223.21573202583
176,109442.61247290752,197343.50197732402
177,109550.44911734515,202788.63372315725
178,97068.55602625657,198557.35654280585
179,99173.92725370711,196420.98835058496
