,NO-N,NO-S
0,-4.328424012852177,-4.105813303615358
1,-4.385499217108126,-4.158094219474672
2,-4.440320773603826,-4.20782488909417
3,-4.492872348151355,-4.254990495125442
4,-4.5431382829082665,-4.29957698448569
5,-4.591103601042875,-4.34157107254488
6,-4.636754011196632,-4.380960247083919
7,-4.680075911742257,-4.417732772022688
8,-4.721056394836382,-4.451877690916847
9,-4.759683250265454,-4.483384830222308
10,-4.795944969083799,-4.5122448023264745
11,-4.829830747042738,-4.538449008345297
12,-4.861330487809721,-4.561989640685324
13,-4.890434805976563,-4.582859685369991
14,-4.9171350298558325,-4.6010529241294496
15,-4.941423204064609,-4.616563936253313
16,-4.963292091894793,-4.629388100205763
17,-4.982735177469306,-4.639521595002549
18,-4.9997466676835005,-4.646961401349458
19,-5.014321493931237,-4.651705302541915
20,-5.026455313615075,-4.653751885125463
21,-5.036144511440162,-4.653100539316893
22,-5.043386200491422,-4.6497514591859375
23,-5.048178223093707,-4.643705642597447
24,-5.050519151454694,-4.634964890914073
25,-5.050408288090284,-4.623531808459545
26,-5.04784566603243,-4.609409801742713
27,-5.0428320488192915,-4.592603078442569
28,-5.035368930267732,-4.573116646154561
29,-5.0254585340282425,-4.550956310898568
30,-5.013103812922394,-4.526128675388992
31,-4.99830844806304,-4.498641137067459
32,-4.981076847757521,-4.468501885898742
33,-4.961414146194203,-4.435719901930541
34,-4.939326201912738,-4.4003049526178675
35,-4.914819596058493,-4.362267589912803
36,-4.887901630421698,-4.321619147120536
37,-4.858580325261846,-4.27837173552257
38,-4.82686441691806,-4.232538240768151
39,-4.79276335520607,-4.184132319034967
40,-4.75628730060263,-4.133168392960254
41,-4.71744712121818,-4.079661647343549
42,-4.676254389558677,-4.023628024622352
43,-4.6327213790775374,-3.965084220122041
44,-4.586861060518743,-3.9040476770814725
45,-4.5386870980521845,-3.8405365814557326
46,-4.488213845202388,-3.774569856497593
47,-4.435456340571866,-3.7061671571193027
48,-4.380430303360325,-3.635348864036357
49,-4.3231521286811105,-3.5621360776950306
50,-4.263638882676246,-3.4865506119854595
51,-4.20190829743154,-3.4086149877421454
52,-4.137978765693285,-3.328352426033836
53,-4.071869335388101,-3.2457868412447612
54,-4.003599703947563,-3.160942833949295
55,-3.9331902124393197,-3.0738456835821646
56,-3.860661839506435,-2.984521340906403
57,-3.7860361951167527,-2.8929964202812606
58,-3.7093355141241755,-2.7992981917324116
59,-3.6305826496437383,-2.70345457282679
60,-3.549801066242487,-2.6054941203545083
61,-3.4670148329481587,-2.5054460218203003
62,-3.3822486160777703,-2.4033400867470407
63,-3.2955276718882485,-2.2992067377939605
64,-3.2068778390512684,-2.193077001692135
65,-3.116325530954584,-2.0849825000000273
66,-3.0238977278320953,-1.9749554396817715
67,-2.929621968725053,-1.8630286035110606
68,-2.833526343276727,-1.749235340303434
69,-2.73563948336306,-1.6336095549799556
70,-2.635990554561743,-1.5161856984651698
71,-2.5346092474622672,-1.3969987574223799
72,-2.4315257688195646,-1.2760842438293056
73,-2.3267708325538394,-1.15347818439722
74,-2.220375650599304,-1.0292171098367282
75,-2.1123719236045204,-0.9033380439733656
76,-2.002791831487129,-0.7758784927162776
77,-1.8916680238457866,-0.6468764328832712
78,-1.779033610232149,-0.5163703008855389
79,-1.6649221502858151,-0.3843989812754549
80,-1.5493676437351793,-0.2510017951608601
81,-1.4324045202671352,-0.11621848848925365
82,-1.3140676292686915,0.01991077979458744
83,-1.1943922294435265,0.1573454497140403
84,-1.0734139783065921,0.29604457234556225
85,-0.9511689215598864,0.43596682201949744
86,-0.8276934823525709,0.5770705086331435
87,-0.7030244504286199,0.7193135900723935
88,-0.5771989711652481,0.8626536847382683
89,-0.4502545345053757,1.0070480841745895
90,-0.32222896378741805,1.1524537657930594
91,-0.19316040447576124,1.2988274056919082
92,-0.0630873127952512,1.4461253915643324
93,0.06795155572692807,1.5943038356928807
94,0.19991715780852926,1.7433185880258757
95,0.33277017404526543,1.8931252493320074
96,0.46647102062609447,2.0436791844291635
97,0.6009798611272992,2.194935535483573
98,0.736256618381825,2.346849235375287
99,0.8722609864203421,2.4993750211259993
100,1.0089524424805005,2.6524674473852627
101,1.1462902590807502,2.8060808999709925
102,1.2842335161551794,2.9601696094603147
103,1.422741113245727,3.114687664826648
104,1.56177178174814,3.2695890271189842
105,1.7012840972080359,3.4248275431792807
106,1.8412364916633963,3.580356959393883
107,1.981587266029822,3.736130935474877
108,2.1222946025248564,3.8921030582672693
109,2.263316577127671,4.048226855577872
110,2.404611172070411,4.204455810021783
111,2.546136288357467,4.360743372882332
112,2.6878497583089533,4.51704297798036
113,2.8297093581246493,4.673308055548696
114,2.9716728204646614,4.829492046107716
115,3.113697847043051,4.985548414337821
116,3.2557421212307105,5.141430662944741
117,3.3977633206636604,5.297092346513472
118,3.5397191298530886,5.452487085346789
119,3.6815672527933283,5.607568579284155
120,3.823265425564051,5.762290621496971
121,3.9647714289228504,5.916607112255946
122,4.10604310088458,6.070472072666636
123,4.247038349283578,6.223839658368928
124,4.387715164315118,6.376664173196465
125,4.528031631052286,6.528900082791874
126,4.667945941934658,6.680502028173866
127,4.807416409224906,6.831424839251996
128,4.946401477429761,6.98162354828519
129,5.084859735681527,7.13105340327996
130,5.22274993007656,7.279669881324364
131,5.36003097596692,7.427428701853671
132,5.496661970201647,7.574285839843871
133,5.6326022033138905,7.7201975389289625
134,5.767811171650436,7.865120324438318
135,5.902248589439797,8.009011016349987
136,6.035874400795443,8.151826742156285
137,6.168648791650553,8.293524949637744
138,6.300532201620668,8.43406341954163
139,6.431485335790791,8.573400278161232
140,6.5614691764233966,8.711494009812244
141,6.690444994583812,8.848303469202405
142,6.818374361679609,8.983787893690856
143,6.945219160910447,9.117906915433416
144,7.070941598625073,9.250620573410277
145,7.195504215582,9.381889325332464
146,7.318869898110551,9.511674059423523
147,7.441001889168968,9.63993610607297
148,7.5618637992962245,9.766637249357956
149,7.681419617454354,9.891739738429795
150,7.799633721757988,10.015206298761877
151,7.916470890087979,10.137000143255705
152,8.031896310585903,10.257084983201686
153,8.145875592026286,10.37542503909138
154,8.258374774063594,10.491985051278142
155,8.369360337350713,10.606730290482728
156,8.478799213526173,10.719626568141015
