,,NO-N,NO-S
gen_0.5,no-flex,3250.0,4900.0
gen_0.5,trans,3250.0,3950.0
gen_0.5,stor,3250.0,5850.0
gen_0.5,full-flex,3825.0,4750.0
gen_N0.5,no-flex,3250.0,4900.0
gen_N0.5,trans,3250.0,3950.0
gen_N0.5,stor,3250.0,6550.0
gen_N0.5,full-flex,3275.0,5900.0
gen_S0.5,no-flex,3250.0,4900.0
gen_S0.5,trans,3250.0,3950.0
gen_S0.5,stor,3250.0,5850.0
gen_S0.5,full-flex,4125.0,4450.0
gen_0.9,no-flex,3250.0,4900.0
gen_0.9,trans,3250.0,3950.0
gen_0.9,stor,3250.0,6450.0
gen_0.9,full-flex,3675.0,5200.0
standard,no-flex,3257.0,4700.0
standard,trans,3257.0,3800.0
standard,stor,3257.0,6450.0
standard,full-flex,3257.0,5550.0
gen_1.1,no-flex,3250.0,4900.0
gen_1.1,trans,3250.0,3950.0
gen_1.1,stor,3250.0,6750.0
gen_1.1,full-flex,3425.0,5650.0
gen_1.5,no-flex,3250.0,4900.0
gen_1.5,trans,3250.0,3950.0
gen_1.5,stor,3250.0,7100.0
gen_1.5,full-flex,3250.0,6100.0
gen_N1.5,no-flex,3250.0,4900.0
gen_N1.5,trans,3250.0,3950.0
gen_N1.5,stor,3250.0,6550.0
gen_N1.5,full-flex,3625.0,5300.0
gen_S1.5,no-flex,3250.0,4900.0
gen_S1.5,trans,3250.0,3950.0
gen_S1.5,stor,3250.0,7100.0
gen_S1.5,full-flex,3250.0,6050.0
