,,NO-N,NO-S
storage0.5,no-flex,3250.0,4900.0
storage0.5,trans,3250.0,3950.0
storage0.5,stor,3250.0,6550.0
storage0.5,full-flex,3325.0,5600.0
storage0.9,no-flex,3250.0,4900.0
storage0.9,trans,3250.0,3950.0
storage0.9,stor,3250.0,6550.0
storage0.9,full-flex,3450.0,5650.0
standard,no-flex,3257.0,4700.0
standard,trans,3257.0,3800.0
standard,stor,3257.0,6450.0
standard,full-flex,3257.0,5550.0
storage1.1,no-flex,3250.0,4900.0
storage1.1,trans,3250.0,3950.0
storage1.1,stor,3250.0,6550.0
storage1.1,full-flex,3475.0,5600.0
storage1.5,no-flex,3250.0,4900.0
storage1.5,trans,3250.0,3950.0
storage1.5,stor,3250.0,6550.0
storage1.5,full-flex,3700.0,5400.0
