,NO-N,NO-S,no-flex,trans,stor,full-flex
0,3250.0,1850.0,477907640.2157555,272906543.8182094,423153922.6917411,251779998.910863
1,3250.0,1900.0,472434989.4303121,270146684.1864353,417708470.6042595,247724808.07402602
2,3250.0,1950.0,467052634.7893421,267472376.54850692,412343841.8150074,243763846.1142021
3,3250.0,2000.0,461760576.2928458,264883026.40639982,407064033.68996954,239742931.92094308
4,3250.0,2050.0,456558813.9408229,262377145.68497682,401865754.69204557,235730328.5681584
5,3250.0,2100.0,451447347.73327374,259954968.93684646,396744649.0754053,231867370.61233294
6,3250.0,2150.0,446426177.6701974,257616293.47318393,391701702.7738803,227986111.18563083
7,3250.0,2200.0,441495303.75159544,255353772.7968133,386736932.05397695,224200069.1529082
8,3250.0,2250.0,436654725.97746634,253168392.9799899,381845029.31126183,220473201.09974727
9,3250.0,2300.0,431904444.3478113,251060989.669925,377021330.4698878,216706064.86987934
10,3250.0,2350.0,427244458.8626295,249031758.50021324,372264452.4998302,213039565.3269216
11,3250.0,2400.0,422674769.521921,247076562.4699395,367581812.1112561,209359105.63652655
12,3250.0,2450.0,418195376.3256863,245192881.45430812,362970172.6228039,205799008.32779518
13,3250.0,2500.0,413806279.27392477,243372042.7649918,358412926.0285536,202321024.8512529
14,3250.0,2550.0,409507478.3666373,241620027.53123865,353924721.3544609,198862423.40939975
15,3250.0,2600.0,405298973.603823,239937163.12900436,349503181.67366403,195481283.27047738
16,3250.0,2650.0,401180764.9854824,238327951.97378662,345146632.345346,192076642.68333778
17,3250.0,2700.0,397152852.5116149,236784241.37649822,340841081.67065287,188763334.62318206
18,3250.0,2750.0,393215236.18222135,235303289.22348866,336593520.3964562,185423818.96456754
19,3250.0,2800.0,389367915.99730116,233886223.41378555,332407075.0675646,182174476.53216973
20,3250.0,2850.0,385610891.95685446,232532278.82721847,328281034.84771234,178999335.71771488
21,3250.0,2900.0,381944164.06088126,231239173.1025626,324198370.2879026,175846941.61684638
22,3250.0,2950.0,378367732.30938184,230011677.34672317,320157248.26775914,172764686.64803004
23,3250.0,3000.0,374881596.7023556,228844785.87680393,316165573.54681003,169695732.23924732
24,3250.0,3050.0,371485757.23980314,227740990.31842113,312222193.3567767,166655864.46050954
25,3250.0,3100.0,368180213.921724,226698896.82479954,308323518.2322169,163558970.30318105
26,3250.0,3150.0,364964966.7481183,225720601.62040198,304485652.0731015,160612189.26098612
27,3250.0,3200.0,361840015.7189865,224804647.80786023,300692171.2331054,157713704.07476354
28,3250.0,3250.0,358805360.8343279,223950126.1911924,296934666.70600677,154809933.93074882
29,3250.0,3300.0,355861002.09414285,223156550.75183198,293221424.8544233,151992419.43462792
30,3250.0,3350.0,353006939.49843127,222421522.84544814,289557245.1686251,149207977.55846253
31,3250.0,3400.0,350243173.04719317,221745074.8432418,285937873.340572,146390572.38794136
32,3250.0,3450.0,347569702.74042886,221123907.31341904,282366768.69209146,143635645.11212638
33,3250.0,3500.0,344986528.578138,220561100.2351712,278824116.2871457,140853747.21481696
34,3250.0,3550.0,342493650.5603204,220059199.29834598,275331800.35899246,138186380.94250962
35,3250.0,3600.0,340091068.6869765,219615578.44312096,271884148.06330067,135473887.39068764
36,3250.0,3650.0,337778782.95810604,219237088.25550675,268453852.50397843,132814522.45311873
37,3250.0,3700.0,335556793.3737092,218924867.71192986,265058185.1416048,130216957.83813867
38,3250.0,3750.0,333425099.9337857,218669213.69770488,261701426.62598175,127636023.81150016
39,3250.0,3800.0,331383702.638336,218472290.04823142,258394496.86166373,125051386.75822848
40,3250.0,3850.0,329432601.4873596,218334541.5886985,255132725.25531358,122553581.22056545
41,3250.0,3900.0,327571796.4808567,218253720.8620967,251897343.018792,120096490.31655318
42,3250.0,3950.0,325801287.6188274,218236569.24446365,248686521.227091,117720132.45224194
43,3250.0,4000.0,324121074.9012716,218277393.00932094,245492867.58955792,115404660.12295105
44,3250.0,4050.0,322531158.32818925,218376615.8321367,242354193.7982637,113117774.00420456
45,3250.0,4100.0,321031537.89958036,218540023.54403126,239246163.314179,110935582.38544002
46,3250.0,4150.0,319622213.6154453,218766332.80884767,236189516.72677228,108699610.79429014
47,3250.0,4200.0,318303185.47578335,219055900.48640397,233168946.69337848,106506220.5611062
48,3250.0,4250.0,317074453.4805951,219408529.4635527,230177441.23977783,104372766.76658678
49,3250.0,4300.0,315936017.62988055,219820942.26662204,227208183.8408783,102189314.46840441
50,3250.0,4350.0,314887877.9236395,220296220.10525203,224283282.69666982,100132639.63604756
51,3250.0,4400.0,313930034.36187154,220834258.2789831,221393060.50743568,98146978.13979292
52,3250.0,4450.0,313062486.94457746,221435172.8098597,218545501.85702226,96146861.77278942
53,3250.0,4500.0,312285235.67175674,222099195.16807282,215729139.16928288,94236787.49381422
54,3250.0,4550.0,311598280.5434097,222825338.41380695,212947570.0556113,92439811.74632953
55,3250.0,4600.0,311001621.5595359,223614113.56812054,210205371.34389752,90602378.49188974
