,NO-N,NO-S,no-flex,trans,stor,full-flex
0,3250.0,1850.0,477907640.21575564,272906543.8182094,423153922.6917411,251780075.76076853
1,3250.0,1900.0,472434989.430312,270146684.1864353,417708470.60425967,247728496.84670478
2,3250.0,1950.0,467052634.78934234,267472376.54850692,412343841.8150076,243767597.56120384
3,3250.0,2000.0,461760576.2928459,264883026.40639976,407064033.6899695,239747996.17148513
4,3250.0,2050.0,456558813.9408231,262377145.68497676,401865754.6920454,235734619.90930504
5,3250.0,2100.0,451447347.7332737,259954968.9368465,396744649.0754053,231871666.89938295
6,3250.0,2150.0,446426177.6701976,257616293.47318408,391701702.77388024,227988091.98485374
7,3250.0,2200.0,441495303.7515954,255353772.79681343,386736932.0539768,224202864.04539815
8,3250.0,2250.0,436654725.97746634,253168392.9799899,381845029.3112616,220479209.6676979
9,3250.0,2300.0,431904444.3478112,251060989.66992477,377021330.46988785,216716845.10741556
10,3250.0,2350.0,427244458.8626293,249031758.50021324,372264452.4998302,213047530.10027122
11,3250.0,2400.0,422674769.521921,247076562.46993953,367581812.1112561,209375410.27161464
12,3250.0,2450.0,418195376.32568634,245192881.45430815,362970283.4535403,205817736.35579854
13,3250.0,2500.0,413806279.27392495,243372042.76499167,358413483.77228105,202339218.2537355
14,3250.0,2550.0,409507478.3666373,241620027.53123882,353925710.77071345,198881234.93461978
15,3250.0,2600.0,405298973.60382295,239937163.1290044,349506318.62246436,195496279.285814
16,3250.0,2650.0,401180764.98548216,238327951.9737867,345149039.1587958,192092037.85550067
17,3250.0,2700.0,397152852.511615,236784241.3764983,340846289.3045107,188787740.69682446
18,3250.0,2750.0,393215236.1822215,235303289.22348866,336604451.8259066,185451995.35343745
19,3250.0,2800.0,389367915.99730104,233886223.41378567,332423859.3386731,182197817.34733522
20,3250.0,2850.0,385610891.95685464,232532278.82721856,328303769.54965204,179030484.36620218
21,3250.0,2900.0,381944164.0608814,231239173.10256246,324232445.24239504,175897557.25480533
22,3250.0,2950.0,378367732.3093817,230011677.3467231,320206135.1712389,172835080.8750354
23,3250.0,3000.0,374881596.7023556,228844785.87680405,316228669.6694361,169766299.98316836
24,3250.0,3050.0,371485757.239803,227740990.31842107,312305078.92284924,166769519.82951906
25,3250.0,3100.0,368180213.9217241,226698896.82479954,308430029.5793721,163666202.5729476
26,3250.0,3150.0,364964966.74811834,225720601.62040207,304612882.5359295,160747194.97091296
27,3250.0,3200.0,361840015.71898633,224804647.80786034,300843873.7821425,157880359.06372985
28,3250.0,3250.0,358805360.8343279,223950126.19119233,297120360.77510273,154992720.17022237
29,3250.0,3300.0,355861002.09414274,223156550.75183198,293452722.7142836,152238204.56306377
30,3250.0,3350.0,353006939.49843127,222421522.84544808,289831738.4056849,149466654.64653745
31,3250.0,3400.0,350243173.0471932,221745074.84324184,286264706.1569834,146710548.99366066
32,3250.0,3450.0,347569702.7404289,221123907.31341884,282752493.2954469,143975837.36604556
33,3250.0,3500.0,344986528.5781379,220561100.2351712,279289507.7950626,141241840.7399169
34,3250.0,3550.0,342493650.5603204,220059199.29834607,275883340.95924884,138620658.304926
35,3250.0,3600.0,340091068.6869765,219615578.443121,272522859.53546065,135976873.14380214
36,3250.0,3650.0,337778782.95810604,219237088.25550675,269203015.93326056,133427468.18742004
37,3250.0,3700.0,335556793.3737093,218924867.71192983,265920804.4843835,130903346.9837236
38,3250.0,3750.0,333425099.9337858,218669213.69770488,262695094.23740956,128400060.4885989
39,3250.0,3800.0,331383702.6383358,218472290.04823154,259522515.57245982,125898352.26352258
40,3250.0,3850.0,329432601.4873596,218334541.58869854,256390122.25690043,123513311.11580406
41,3250.0,3900.0,327571796.4808566,218253720.86209667,253287514.31960064,121155645.11773954
42,3250.0,3950.0,325801287.61882734,218236569.24446365,250244773.18789974,118898122.81064962
43,3250.0,4000.0,324121074.9012715,218277393.00932097,247254816.5102047,116670923.56262521
44,3250.0,4050.0,322531158.3281892,218376615.83213654,244309859.23620248,114492821.34107976
45,3250.0,4100.0,321031537.8995805,218540023.54403123,241410275.59277862,112389768.64018816
46,3250.0,4150.0,319622213.6154454,218766332.8088477,238575632.9406426,110337534.62288979
47,3250.0,4200.0,318303185.4757834,219055900.48640385,235773911.25733167,108305631.31240883
48,3250.0,4250.0,317074453.48059523,219408529.46355274,233011010.39814025,106288130.46096508
49,3250.0,4300.0,315936017.6298806,219820942.26662204,230294428.27025977,104244791.87948507
50,3250.0,4350.0,314887877.9236395,220296220.10525197,227636813.686326,102373149.11249092
51,3250.0,4400.0,313930034.36187154,220834258.27898315,225037690.98227918,100492350.90873243
52,3250.0,4450.0,313062486.9445775,221435172.80985963,222484106.5497107,98662267.5693886
53,3250.0,4500.0,312285235.6717568,222099195.16807285,219961988.65528548,96907523.03578757
54,3250.0,4550.0,311598280.54340976,222825338.4138069,217489641.0618396,95269334.50688118
55,3250.0,4600.0,311001621.559536,223614113.56812066,215068996.11937764,93635170.8743759
56,3250.0,4650.0,310495258.7201358,224462813.38322774,212723157.22499573,92097932.57067162
57,3250.0,4700.0,310079192.02520937,225377688.97999862,210423829.62463868,90627198.68161604
58,3250.0,4750.0,309753421.4747563,226362935.54288784,208164147.44011357,89215549.18055262
59,3250.0,4800.0,309517947.06877667,227414519.65630186,205961158.77354935,87895841.94193123
60,3250.0,4850.0,309372768.8072705,228527102.5625331,203802711.64041632,86647193.78126119
61,3250.0,4900.0,309317886.6902382,229705471.38490754,201693779.99550855,85479841.14764483
62,3250.0,4950.0,309353300.7176791,230949375.0102305,199632029.74523127,84356941.6911221
63,3250.0,5000.0,309479010.88959354,232261805.13268664,197630926.89936393,83242948.00071442
64,3250.0,5050.0,309695017.2059815,233644579.7281088,195701808.0498167,82235166.19164944
65,3250.0,5100.0,310001319.66684306,235093690.68773308,193826413.9488456,81239077.8209669
66,3250.0,5150.0,310397918.2721782,236608207.37377176,191988980.5792343,80232106.52887493
67,3250.0,5200.0,310884813.0219868,238186326.88907474,190212132.82343835,79388162.44359918
68,3250.0,5250.0,311462003.9162688,239829992.28018406,188465801.7791808,78514765.66079906
69,3250.0,5300.0,312129490.95502436,241540241.89921406,186782591.4464919,77735243.42925034
70,3250.0,5350.0,312887274.13825345,243319568.85640487,185153847.05316967,77041469.83570555
71,3250.0,5400.0,313735353.4659561,245170505.3239858,183573636.95958236,76371075.2929244
72,3250.0,5450.0,314673728.9381322,247091305.0391794,182031875.62398362,75811223.83742544
73,3250.0,5500.0,315702400.55478203,249084838.76961195,180556043.9567025,75295174.07768823
74,3250.0,5550.0,316821368.3159051,251149451.91414374,179137486.58540913,74844121.47327435
75,3250.0,5600.0,318030632.2215018,253286927.88961843,177789713.96908897,74523444.2786069
76,3250.0,5650.0,319330192.27157205,255493739.1605772,176512198.35384357,74197193.89114304
77,3250.0,5700.0,320720048.4661158,257770070.16300213,175290801.21706814,73924656.10469884
78,3250.0,5750.0,322200200.8051328,260113584.13040215,174148864.6914097,73716578.42074814
79,3250.0,5800.0,323770649.28862363,262528984.34474233,173063492.2412946,73615684.9277553
80,3250.0,5850.0,325431393.9165878,265016977.03032452,172049182.17759228,73650948.62470147
81,3250.0,5900.0,327182434.6890256,267576412.41313115,171088589.23578593,73557594.88624766
82,3250.0,5950.0,329023771.6059368,270208905.3242491,170205820.47445208,73695111.01305991
83,3250.0,6000.0,330955404.6673218,272913729.9465577,169390783.54335693,73983641.98368922
84,3250.0,6050.0,332977333.8731799,275693150.7443923,168622790.324308,74277129.21091914
85,3250.0,6100.0,335089559.2235118,278545835.8520627,167958014.98547825,74705646.86845873
86,3250.0,6150.0,337292080.7183172,281472595.1029282,167314453.86352694,75161556.28815861
87,3250.0,6200.0,339584898.3575962,284475481.7100061,166747156.81317562,75719147.26756707
88,3250.0,6250.0,341968012.14134866,287554069.3723301,166220975.55960175,76364170.0882617
