,NO-N,NO-S,no-flex,trans,stor,full-flex
0,3250.0,1850.0,477907640.2157554,272906543.81820947,422624582.06314504,251971968.25414217
1,3250.0,1900.0,472434989.4303119,270146684.1864354,417179213.32263917,247950272.94029558
2,3250.0,1950.0,467052634.78934216,267472376.5485069,411815280.17615557,244016969.18889034
3,3250.0,2000.0,461760576.29284596,264883026.40639964,406536246.41267014,239997108.94334793
4,3250.0,2050.0,456558813.9408231,262377145.68497673,401338954.2302271,236048857.32400677
5,3250.0,2100.0,451447347.73327357,259954968.93684655,396218913.998715,232176536.1532888
6,3250.0,2150.0,446426177.67019767,257616293.47318408,391179715.9649088,228312156.43147004
7,3250.0,2200.0,441495303.75159526,255353772.79681328,386220328.32884806,224532773.7476328
8,3250.0,2250.0,436654725.97746634,253168392.9799899,381334758.440801,220867931.31933403
9,3250.0,2300.0,431904444.34781104,251060989.66992497,376519923.46950936,217148296.45152196
10,3250.0,2350.0,427244458.8626294,249031758.50021312,371775224.80086684,213511435.23114488
11,3250.0,2400.0,422674769.5219208,247076562.46993947,367104617.2475435,209861961.71521962
12,3250.0,2450.0,418195376.3256862,245192881.4543082,362506718.26472986,206417889.21251136
13,3250.0,2500.0,413806279.2739249,243372042.7649916,357972728.9549132,203045995.78836948
14,3250.0,2550.0,409507478.366637,241620027.53123868,353510385.46912503,199656788.45596576
15,3250.0,2600.0,405298973.6038229,239937163.12900445,349118466.009178,196360780.23844156
16,3250.0,2650.0,401180764.98548216,238327951.97378677,344801652.43637186,192990841.45926678
17,3250.0,2700.0,397152852.511615,236784241.3764982,340549965.348628,189813214.73307362
18,3250.0,2750.0,393215236.18222135,235303289.22348845,336361207.39966667,186582046.71278495
19,3250.0,2800.0,389367915.9973011,233886223.41378567,332234465.3198941,183459019.74000204
20,3250.0,2850.0,385610891.9568542,232532278.82721847,328174459.2035616,180390406.09695438
21,3250.0,2900.0,381944164.0608814,231239173.1025625,324182572.3979924,177377761.96742138
22,3250.0,2950.0,378367732.30938166,230011677.34672314,320257844.7042571,174447250.08510798
23,3250.0,3000.0,374881596.70235574,228844785.87680393,316394728.137709,171529238.46419242
24,3250.0,3050.0,371485757.2398031,227740990.31842107,312593818.08674896,168633343.52196416
25,3250.0,3100.0,368180213.921724,226698896.82479945,308853504.66587186,165775900.2920477
26,3250.0,3150.0,364964966.74811834,225720601.62040198,305174230.3848439,163043699.17830744
27,3250.0,3200.0,361840015.7189865,224804647.80786014,301559213.6024485,160343008.84623095
28,3250.0,3250.0,358805360.83432794,223950126.1911922,298004766.9439789,157722449.10845977
29,3250.0,3300.0,355861002.09414285,223156550.7518319,294517488.1774382,155107046.85755736
30,3250.0,3350.0,353006939.4984313,222421522.84544805,291098301.9996682,152599440.05279183
31,3250.0,3400.0,350243173.0471932,221745074.8432418,287747406.9005186,150134846.15328825
32,3250.0,3450.0,347569702.74042886,221123907.31341895,284454543.9358878,147764592.84410173
33,3250.0,3500.0,344986528.5781379,220561100.23517114,281228398.9572316,145287231.32206708
34,3250.0,3550.0,342493650.56032044,220059199.2983461,278068703.5180109,142874487.93336236
35,3250.0,3600.0,340091068.6869766,219615578.44312105,274973449.28476906,140572490.40594798
36,3250.0,3650.0,337778782.9581061,219237088.25550678,271950651.4490311,138223998.87018
37,3250.0,3700.0,335556793.3737093,218924867.71192983,268993049.5753038,135962349.0961719
38,3250.0,3750.0,333425099.93378574,218669213.69770497,266100259.13307446,133762838.60260724
39,3250.0,3800.0,331383702.6383359,218472290.0482315,263267261.60734054,131672474.65213966
40,3250.0,3850.0,329432601.4873596,218334541.58869854,260500743.61913815,129674896.70469494
41,3250.0,3900.0,327571796.48085666,218253720.86209655,257795096.24413398,127724276.92508723
42,3250.0,3950.0,325801287.61882734,218236569.24446365,255151857.5583369,125745317.65355791
43,3250.0,4000.0,324121074.9012715,218277393.00932106,252574709.5609619,123921674.0194419
44,3250.0,4050.0,322531158.32818925,218376615.83213654,250072250.694356,122075992.24990144
45,3250.0,4100.0,321031537.8995805,218540023.54403126,247640210.38147128,120271345.65474498
46,3250.0,4150.0,319622213.6154452,218766332.8088478,245271408.21232224,118553754.74431342
47,3250.0,4200.0,318303185.4757833,219055900.48640403,242956032.74829498,116822110.82968706
48,3250.0,4250.0,317074453.48059535,219408529.46355274,240699921.5394951,115180107.82459383
49,3250.0,4300.0,315936017.62988055,219820942.26662195,238500914.2679698,113596683.12101686
50,3250.0,4350.0,314887877.9236395,220296220.105252,236370048.52414018,112110805.61469433
51,3250.0,4400.0,313930034.3618716,220834258.2789832,234316326.9514144,110622763.06036198
52,3250.0,4450.0,313062486.9445774,221435172.80985966,232328152.79802305,109219589.82813233
53,3250.0,4500.0,312285235.6717568,222099195.16807294,230409359.28393623,107937359.56447913
54,3250.0,4550.0,311598280.54340976,222825338.4138069,228560234.4744587,106683615.17926827
55,3250.0,4600.0,311001621.55953604,223614113.5681205,226779875.7412163,105478121.73512432
56,3250.0,4650.0,310495258.7201359,224462813.38322774,225060765.66368884,104382913.47924587
57,3250.0,4700.0,310079192.0252095,225377688.97999868,223415244.26920933,103266047.83250174
58,3250.0,4750.0,309753421.4747563,226362935.54288793,221836393.9296624,102224463.21656062
59,3250.0,4800.0,309517947.06877667,227414519.65630168,220332207.6474741,101302568.29827385
60,3250.0,4850.0,309372768.8072705,228527102.56253314,218893058.71875218,100465338.74793844
61,3250.0,4900.0,309317886.6902382,229705471.38490745,217528441.34767753,99626373.81301156
62,3250.0,4950.0,309353300.7176791,230949375.01023057,216235005.8222083,98929452.12090664
63,3250.0,5000.0,309479010.8895934,232261805.13268661,215005238.04568395,98217837.94477837
64,3250.0,5050.0,309695017.2059817,233644579.7281088,213841356.81243193,97577722.06863661
65,3250.0,5100.0,310001319.66684324,235093690.68773305,212742958.58877268,97025329.23138371
66,3250.0,5150.0,310397918.2721782,236608207.37377182,211715711.3725014,96612564.82528341
67,3250.0,5200.0,310884813.02198666,238186326.88907462,210761457.83486924,96250857.71457772
68,3250.0,5250.0,311462003.91626894,239829992.28018397,209876541.9799448,95973079.68708932
69,3250.0,5300.0,312129490.9550243,241540241.89921403,209064255.38320148,95783115.30482641
70,3250.0,5350.0,312887274.13825345,243319568.85640502,208317411.65975365,95672417.8936153
71,3250.0,5400.0,313735353.4659561,245170505.32398582,207649120.17816323,95535277.17034669
72,3250.0,5450.0,314673728.93813217,247091305.03917944,207063470.48502406,95558193.96980743
73,3250.0,5500.0,315702400.5547821,249084838.76961204,206551279.6675152,95616745.31040694
74,3250.0,5550.0,316821368.31590503,251149451.91414365,206108872.82741368,95670403.12210535
75,3250.0,5600.0,318030632.2215018,253286927.88961834,205729657.06785217,95773537.46485664
