,,NO-N,NO-S
dem_0.9,no-flex,112992197.30463213,171517822.08745706
dem_0.9,trans,63235432.78153154,122560833.82884035
dem_0.9,stor,69162518.16278704,89917873.05776864
dem_0.9,full-flex,32546620.131241012,32939639.387758445
dem_N0.9,no-flex,112992197.3046321,210699395.0278681
dem_N0.9,trans,54151268.68264103,158735591.95160425
dem_N0.9,stor,69162518.16278705,116393520.82541059
dem_N0.9,full-flex,24260965.232184406,48139214.410594605
dem_S0.9,no-flex,100053670.15175648,171517822.08745706
dem_S0.9,trans,58067988.51294765,129674492.74559116
dem_S0.9,stor,48632440.07558608,89917873.05776861
dem_S0.9,full-flex,25027546.197278276,38646360.15080562
standard,no-flex,100053670.15175644,210699395.02786818
standard,trans,50273706.5140103,168252196.08677125
standard,stor,48632440.07558606,116393520.8254107
standard,full-flex,20663829.09496604,57988080.04559854
dem_N1.1,no-flex,90147674.04190926,210699395.02786812
dem_N1.1,trans,48247416.0043463,176899051.15519416
dem_N1.1,stor,30438165.764386687,116393520.82541062
dem_N1.1,full-flex,19196103.008367464,68293299.38277507
dem_S1.1,no-flex,100053670.15175644,262770850.20517334
dem_S1.1,trans,43225508.53934417,217333838.8478503
dem_S1.1,stor,48632440.07558608,154730231.71725857
dem_S1.1,full-flex,18319792.12846501,89459000.15532753
dem_1.1,no-flex,90147674.0419092,262770850.20517334
dem_1.1,trans,42220209.72747426,228445950.27923644
dem_1.1,stor,30438165.764386673,154730231.71725857
dem_1.1,full-flex,18723288.899133492,102795352.6705214
