,,NO-N,NO-S
gen_0.5,no-flex,99379796.99734117,209938089.69289696
gen_0.5,trans,52149467.47183698,166087101.7726267
gen_0.5,stor,48221546.35478751,156965811.03577635
gen_0.5,full-flex,36602695.59017301,73417404.21935965
gen_N0.5,no-flex,99379796.9973412,209938089.69289696
gen_N0.5,trans,52149467.471836984,166087101.7726267
gen_N0.5,stor,47979265.64927155,165265542.69007692
gen_N0.5,full-flex,16913352.628160194,81102873.59088565
gen_S0.5,no-flex,99379796.99734122,209938089.69289708
gen_S0.5,trans,52149467.471837,166087101.77262664
gen_S0.5,stor,48221546.35478751,123540575.89972448
gen_S0.5,full-flex,45334698.967005014,56313076.20530479
gen_0.9,no-flex,99379796.99734117,209938089.69289708
gen_0.9,trans,52149467.471836984,166087101.7726267
gen_0.9,stor,47835258.149618566,123700997.26098837
gen_0.9,full-flex,30609912.230304696,49454124.928830326
standard,no-flex,100053670.15175644,210699395.02786818
standard,trans,50273706.5140103,168252196.08677125
standard,stor,48632440.07558606,116393520.8254107
standard,full-flex,20663829.09496604,57988080.04559854
gen_1.1,no-flex,99379796.99734117,209938089.692897
gen_1.1,trans,52149467.47183701,166087101.77262673
gen_1.1,stor,48105446.5056148,108931461.2240567
gen_1.1,full-flex,25745862.994571522,46834955.68140581
gen_1.5,no-flex,99379796.99734117,209938089.69289693
gen_1.5,trans,52149467.471837,166087101.7726267
gen_1.5,stor,48508606.27786776,83871145.96011394
gen_1.5,full-flex,23134942.09065758,39138713.15971244
gen_N1.5,no-flex,99379796.99734122,209938089.692897
gen_N1.5,trans,52149467.471836984,166087101.7726267
gen_N1.5,stor,47979265.64927155,88489497.33491072
gen_N1.5,full-flex,31081769.299324304,39399392.1048365
gen_S1.5,no-flex,99379796.99734116,209938089.692897
gen_S1.5,trans,52149467.471837,166087101.77262667
gen_S1.5,stor,48508606.27786776,120134697.23658428
gen_S1.5,full-flex,21475863.041589588,52801266.169329554
