,,NO-N,NO-S
storage0.5,no-flex,99379796.99734116,209938089.692897
storage0.5,trans,52149467.47183702,166087101.77262664
storage0.5,stor,57070306.41910678,116536518.03427035
storage0.5,full-flex,28659727.03187476,56431154.00113426
storage0.9,no-flex,99379796.99734122,209938089.69289693
storage0.9,trans,52149467.47183698,166087101.7726266
storage0.9,stor,49730182.48193505,116149786.78117669
storage0.9,full-flex,27779870.001225796,49688796.37139509
standard,no-flex,100053670.15175644,210699395.02786818
standard,trans,50273706.5140103,168252196.08677125
standard,stor,48632440.07558606,116393520.8254107
standard,full-flex,20663829.09496604,57988080.04559854
storage1.1,no-flex,99379796.99734117,209938089.69289696
storage1.1,trans,52149467.471837014,166087101.77262667
storage1.1,stor,46377433.927140445,116149786.7811767
storage1.1,full-flex,26076020.322153773,48878222.315803126
storage1.5,no-flex,99379796.99734117,209938089.69289702
storage1.5,trans,52149467.47183701,166087101.77262664
storage1.5,stor,40290135.66361413,116149786.78117664
storage1.5,full-flex,29150464.69816259,42521243.79194473
