,NO-N,NO-S,no-flex,trans,stor,full-flex
0,3250.0,1850.0,477907640.21575546,272906543.81820935,431715622.83298033,252000827.50783557
1,3250.0,1900.0,472434989.43031204,270146684.1864354,426270170.7454985,247982969.70697004
2,3250.0,1950.0,467052634.7893423,267472376.54850692,420905541.9562465,244061796.3184485
3,3250.0,2000.0,461760576.2928459,264883026.4063997,415625733.83120835,240030392.1940188
4,3250.0,2050.0,456558813.94082296,262377145.68497694,410427454.8332844,236080930.1254894
5,3250.0,2100.0,451447347.73327345,259954968.93684655,405306349.2166443,232230594.29707074
6,3250.0,2150.0,446426177.6701977,257616293.47318387,400263402.915119,228372808.63429844
7,3250.0,2200.0,441495303.7515953,255353772.7968134,395298632.195216,224602265.26733097
8,3250.0,2250.0,436654725.9774665,253168392.97998992,390406729.45250076,220884965.77612415
9,3250.0,2300.0,431904444.3478112,251060989.6699249,385583030.61112666,217176930.40403
10,3250.0,2350.0,427244458.8626293,249031758.50021318,380826152.6410691,213549912.92940408
11,3250.0,2400.0,422674769.5219211,247076562.46993947,376143512.2524953,209955302.8778241
12,3250.0,2450.0,418195376.3256864,245192881.45430836,371531983.59477925,206490420.16533515
13,3250.0,2500.0,413806279.2739247,243372042.76499173,366975183.9135199,203093436.0957462
14,3250.0,2550.0,409507478.3666371,241620027.53123865,362487410.91195244,199733897.71044648
15,3250.0,2600.0,405298973.60382277,239937163.12900445,358068018.7637034,196410113.08429703
16,3250.0,2650.0,401180764.9854823,238327951.9737866,353710739.30003494,193066631.4907246
17,3250.0,2700.0,397152852.5116149,236784241.3764981,349407989.44574964,189851712.81091827
18,3250.0,2750.0,393215236.1822213,235303289.22348854,345166151.96714556,186639487.15243638
19,3250.0,2800.0,389367915.99730104,233886223.41378558,340985559.47991204,183393164.74263927
20,3250.0,2850.0,385610891.95685446,232532278.8272184,336865469.6908913,180311824.58726397
21,3250.0,2900.0,381944164.0608812,231239173.1025625,332794145.3836342,177270176.10222176
22,3250.0,2950.0,378367732.3093817,230011677.34672317,328767835.312478,174283500.93067628
23,3250.0,3000.0,374881596.7023555,228844785.87680405,324790369.8106751,171318047.69003925
24,3250.0,3050.0,371485757.2398031,227740990.31842107,320866779.0640882,168358792.61885932
25,3250.0,3100.0,368180213.921724,226698896.8247995,316991729.7206111,165410501.82231748
26,3250.0,3150.0,364964966.74811846,225720601.62040195,313174582.67716855,162564525.95195016
27,3250.0,3200.0,361840015.71898633,224804647.80786014,309405573.92338187,159818524.3757112
28,3250.0,3250.0,358805360.834328,223950126.19119227,305682060.91634166,157057237.1407582
29,3250.0,3300.0,355861002.09414274,223156550.7518319,302014422.85552245,154388129.2682864
30,3250.0,3350.0,353006939.4984314,222421522.84544805,298393438.5469239,151766039.51848024
31,3250.0,3400.0,350243173.04719317,221745074.84324187,294826406.2982224,149209281.3172775
32,3250.0,3450.0,347569702.74042875,221123907.31341904,291314193.43668586,146753671.5996192
33,3250.0,3500.0,344986528.5781378,220561100.23517096,287851207.9363017,144146712.6678201
34,3250.0,3550.0,342493650.5603205,220059199.298346,284445041.10048795,141718279.83388758
35,3250.0,3600.0,340091068.68697655,219615578.44312093,281084559.6766996,139337069.07978973
36,3250.0,3650.0,337778782.9581061,219237088.25550663,277764716.07449937,136798131.61592412
37,3250.0,3700.0,335556793.37370926,218924867.7119299,274482504.6256227,134393411.32739148
38,3250.0,3750.0,333425099.9337858,218669213.697705,271256794.3786485,132074454.82288967
39,3250.0,3800.0,331383702.63833594,218472290.04823157,268084215.71369892,129818575.87532493
40,3250.0,3850.0,329432601.4873596,218334541.58869857,264951822.39813954,127724242.16162622
41,3250.0,3900.0,327571796.4808566,218253720.8620967,261849214.4608397,125627775.87117964
42,3250.0,3950.0,325801287.61882734,218236569.24446368,258806473.32913867,123559461.27449329
43,3250.0,4000.0,324121074.90127146,218277393.0093209,255816516.65144375,121694632.13132383
44,3250.0,4050.0,322531158.3281894,218376615.83213657,252871559.3774415,119723915.28795882
