,NO-N,NO-S,no-flex,trans,stor,full-flex
0,3250.0,1850.0,477907640.21575546,274903695.7910957,422624582.06314504,256005056.11510184
1,3250.0,1900.0,472434989.43031204,272047868.5298269,417179129.9756633,251685366.9020592
2,3250.0,1950.0,467052634.78934234,269284695.4091351,411814501.18641126,247471962.8715756
3,3250.0,2000.0,461760576.29284596,266612942.52607483,406534693.0613733,243181352.44876197
4,3250.0,2050.0,456558813.94082314,264029108.59768018,401336414.06344926,239128082.49009645
5,3250.0,2100.0,451447347.7332736,261532384.1909039,396215308.44680905,235154003.45326146
6,3250.0,2150.0,446426177.67019784,259118990.67778873,391172362.1452841,231336756.606973
7,3250.0,2200.0,441495303.75159544,256781486.7638844,386207591.4253809,227586317.91048852
8,3250.0,2250.0,436654725.97746634,254523820.94061142,381315688.68266565,223712611.2176614
9,3250.0,2300.0,431904444.34781104,252345878.5184861,376491989.8412914,219845012.19677064
10,3250.0,2350.0,427244458.8626294,250248338.33703843,371735111.87123406,216133403.8619517
11,3250.0,2400.0,422674769.521921,248226412.60107815,367052471.4826598,212418242.63035446
12,3250.0,2450.0,418195376.32568634,246278261.39703846,362440942.82494414,208810266.89343697
13,3250.0,2500.0,413806279.273925,244397346.2694618,357884143.14368474,205177318.04043606
14,3250.0,2550.0,409507478.36663735,242588395.0289339,353396370.1421173,201727505.0047808
15,3250.0,2600.0,405298973.60382307,240850454.92581138,348976977.9938682,198271573.6411916
16,3250.0,2650.0,401180764.9854823,239189478.29340416,344619698.53019977,194741050.45669696
17,3250.0,2700.0,397152852.51161516,237597638.20111918,340316948.6759144,191345326.5594091
18,3250.0,2750.0,393215236.18222135,236070287.99408534,336075111.19731027,188069303.59086394
19,3250.0,2800.0,389367915.99730116,234608606.42739627,331894518.71007705,184764346.2450067
20,3250.0,2850.0,385610891.95685434,233211928.80690858,327774428.92105603,181550557.23387572
21,3250.0,2900.0,381944164.0608815,231877843.05467144,323703104.61379904,178392436.66876975
22,3250.0,2950.0,378367732.30938166,230611077.49236315,319676794.542643,175227080.62337887
23,3250.0,3000.0,374881596.70235556,229407869.61305076,315699329.0408401,172026407.96730083
24,3250.0,3050.0,371485757.239803,228269954.44711152,311775738.2942531,168979090.17144
25,3250.0,3100.0,368180213.92172426,227194897.53565827,307900688.9507758,166022148.86934108
26,3250.0,3150.0,364964966.74811846,226185696.48906937,304083541.9073333,162986545.6704211
27,3250.0,3200.0,361840015.71898633,225241125.2114409,300314533.1535465,160050347.60593703
28,3250.0,3250.0,358805360.8343279,224360202.98889878,296591020.14650655,157225012.13437295
29,3250.0,3300.0,355861002.0941426,223541237.21243405,292923382.0856873,154461390.6009842
30,3250.0,3350.0,353006939.4984313,222781617.92415774,289302397.77708876,151764771.55147815
31,3250.0,3400.0,350243173.0471933,222081422.08283207,285735365.5283871,149066722.54028037
32,3250.0,3450.0,347569702.74042886,221437637.20046565,282223152.66685075,146419161.3567861
33,3250.0,3500.0,344986528.57813776,220854061.14102936,278760167.1664664,143622260.56007102
34,3250.0,3550.0,342493650.5603204,220332027.64530304,275354000.33065295,141034765.12798816
35,3250.0,3600.0,340091068.6869765,219868809.29333892,271993518.9068642,138536938.05349857
36,3250.0,3650.0,337778782.9581061,219471263.2099748,268673675.30466425,135887052.93634942
37,3250.0,3700.0,335556793.37370926,219140778.9706995,265391463.85578728,133382024.84012356
38,3250.0,3750.0,333425099.9337858,218867983.42313492,262165753.60881332,130878685.1338845
39,3250.0,3800.0,331383702.63833594,218655265.93225628,258993174.9438637,128504978.26351845
40,3250.0,3850.0,329432601.4873594,218502372.6280614,255860781.62830445,126192164.46739903
41,3250.0,3900.0,327571796.4808567,218407109.36624405,252758173.69100437,123820030.31119429
42,3250.0,3950.0,325801287.61882734,218377041.22305697,249715432.55930346,121531141.292067
43,3250.0,4000.0,324121074.9012716,218406014.4781683,246725475.88160846,119365488.02977759
