,NO-N,NO-S,no-flex,trans,stor,full-flex
0,3250.0,1850.0,509933945.3509974,330962930.3676432,461666459.8557628,283238086.2877112
1,3250.0,1900.0,504874572.98632455,328752606.5980522,456550066.96368825,279426310.01768154
2,3250.0,1950.0,499905206.09139425,326605693.6280858,451499061.46523184,275746326.7054716
3,3250.0,2000.0,495025844.66620666,324523480.0807097,446514623.85709435,272258077.93685985
4,3250.0,2050.0,490236488.7107623,322497218.09376836,441601114.85944206,268754373.40852
5,3250.0,2100.0,485537138.22506034,320529416.9237718,436752714.10905886,265274679.5808791
6,3250.0,2150.0,480927793.2091012,318623750.2493678,431969270.97481436,261865414.18006557
7,3250.0,2200.0,476408453.6628845,316782689.85098344,427253447.4592722,258522283.00097057
8,3250.0,2250.0,471979119.58641106,315006027.5380198,422598478.911072,255031196.53574127
9,3250.0,2300.0,467639790.97968,313292335.72061676,417998331.880689,251697574.45011938
10,3250.0,2350.0,463390467.84269196,311637683.95449245,413466518.2211355,248456897.27560866
11,3250.0,2400.0,459231150.17544657,310048099.34409064,408994061.9665028,245359231.9327568
12,3250.0,2450.0,455161837.9779434,308517668.1535046,404582188.45040995,242248478.76192334
13,3250.0,2500.0,451182531.2501838,307043857.77730745,400227403.0494083,239197167.47741792
14,3250.0,2550.0,447293229.9921663,305631768.31145406,395937417.3158597,236385039.98939988
15,3250.0,2600.0,443493934.2038918,304272265.8720111,391701231.0478328,233523407.40151173
16,3250.0,2650.0,439784643.88536024,302963677.0944299,387519465.6930471,230752013.3839203
17,3250.0,2700.0,436165359.0365712,301709191.05531424,383394475.9009312,227938451.7489108
18,3250.0,2750.0,432636079.6575249,300510454.86296815,379328659.72729087,225280106.9369482
19,3250.0,2800.0,429196805.7482212,299367800.0537138,375312103.41888124,222546105.2557712
20,3250.0,2850.0,425847537.3086605,298281095.6459061,371346999.20767283,219933087.93622792
21,3250.0,2900.0,422588274.3388426,297254165.91898555,367444938.27170455,217540419.4127361
22,3250.0,2950.0,419419016.83876723,296279498.92416376,363592739.5133805,215227263.86155182
23,3250.0,3000.0,416339764.8084347,295357768.24824524,359791764.24071485,212838799.34113976
24,3250.0,3050.0,413350518.2478445,294493594.04473513,356044142.31689537,210486336.64924744
25,3250.0,3100.0,410451277.1569979,293684338.6933003,352351077.4506398,208223667.03522733
26,3250.0,3150.0,407642041.53589356,292934998.1849427,348703750.7057901,206024044.89312622
27,3250.0,3200.0,404922811.3845319,292242780.15981805,345095685.57990426,203863974.37414956
28,3250.0,3250.0,402293586.70291305,291602018.28232884,341550168.16589737,202063491.49059787
29,3250.0,3300.0,399754367.491037,291012373.21543473,338069610.5882476,200038432.97604048
30,3250.0,3350.0,397305153.74890375,290483195.5758523,334642251.8620215,198075891.90834522
31,3250.0,3400.0,394945945.47651297,290006221.04599905,331268533.1924363,196293405.1551909
32,3250.0,3450.0,392676742.6738652,289580166.1457014,327936637.21165293,194300632.01716813
33,3250.0,3500.0,390497545.3409601,289212262.3865892,324650573.0676837,192482570.78222206
34,3250.0,3550.0,388408353.47779745,288904141.56434584,321415744.4757066,190692249.25874725
35,3250.0,3600.0,386409167.08437806,288653750.0202201,318235958.6672847,188920919.22897246
36,3250.0,3650.0,384499986.1607012,288460191.6049853,315108828.1988413,187326213.09893087
37,3250.0,3700.0,382680810.706767,288321173.678406,312032166.646463,185805326.53276977
38,3250.0,3750.0,380951640.72257537,288239366.45112497,308993775.09648603,184265904.8640165
39,3250.0,3800.0,379312476.2081268,288218142.20013857,306003945.33066034,182605899.48595428
40,3250.0,3850.0,377763317.16342086,288252608.4564147,303054586.90931946,181250534.69265556
41,3250.0,3900.0,376304163.58845747,288340307.2249874,300153939.3574624,179593346.92799354
42,3250.0,3950.0,374935015.48323715,288486703.4412338,297292071.1615371,178049448.80582082
43,3250.0,4000.0,373655872.84775954,288691226.8618204,294478747.3913315,176752963.8484067
44,3250.0,4050.0,372466735.68202424,288953868.493122,291730624.80257565,175389334.55244145
45,3250.0,4100.0,371367603.9860322,289278376.65684205,289021933.2174486,173969687.8015964
46,3250.0,4150.0,370358477.7597828,289664317.38323164,286365221.1224995,172503339.70040885
47,3250.0,4200.0,369439357.00327605,290112093.984326,283770081.99950904,171181778.4440533
48,3250.0,4250.0,368610241.71651214,290620431.1982395,281215784.95787054,169765337.31934994
49,3250.0,4300.0,367871131.8994907,291190702.47609633,278700233.2639997,168413122.33474103
50,3250.0,4350.0,367222027.552212,291825974.5684796,276246785.9278113,167327356.90764597
51,3250.0,4400.0,366662928.67467654,292524360.37277603,273853312.8371157,166345379.8114935
52,3250.0,4450.0,366193835.2668836,293286648.9334869,271510991.90615356,165425576.7670452
53,3250.0,4500.0,365814747.3288332,294110225.44114655,269226136.83996236,164390124.51296434
54,3250.0,4550.0,365525664.86052567,294997389.1455832,266977899.98133123,163358095.0470931
55,3250.0,4600.0,365326587.8619608,295948429.74873984,264799298.9615703,162363123.20752296
56,3250.0,4650.0,365217516.3331386,296966727.5802879,262675055.75004688,161411997.6657462
57,3250.0,4700.0,365198450.27405953,298050609.48270315,260591805.60910216,160481306.59676683
58,3250.0,4750.0,365269389.68472284,299199916.15029985,258578794.95803055,159591956.93728894
59,3250.0,4800.0,365430334.56512904,300415696.36211324,256580345.09653416,158892541.60901985
60,3250.0,4850.0,365681284.915278,301698440.0318938,254642051.3412852,158107551.94255966
61,3250.0,4900.0,366022240.73516965,303050675.62938577,252764313.17492715,157329683.3479184
62,3250.0,4950.0,366453202.0248039,304473522.5126635,250959318.5507438,156640346.92829326
63,3250.0,5000.0,366974168.7841811,305965864.1313022,249185642.73100746,155948694.62491637
64,3250.0,5050.0,367585141.013301,307527897.2389951,247496904.57871863,155360279.0303072
65,3250.0,5100.0,368286118.7121636,309156960.1451358,245842283.25849006,154853955.15273732
66,3250.0,5150.0,369077101.88076895,310856678.8013914,244217224.93158555,154465598.1636556
67,3250.0,5200.0,369958090.5191171,312626484.43533576,242639181.5381889,153958659.83187988
68,3250.0,5250.0,370929084.627208,314464509.9581957,241118423.84242207,153674454.02773982
69,3250.0,5300.0,371990084.2050415,316371052.060882,239691754.24804923,153346416.93152928
70,3250.0,5350.0,373141089.25261796,318347996.37284464,238308258.5862341,152883145.13912478
71,3250.0,5400.0,374382099.7699368,320396712.75246865,236931425.17259806,152475961.0587172
72,3250.0,5450.0,375713115.75699866,322516803.2286901,235600436.59946787,152168456.36130077
73,3250.0,5500.0,377134137.21380335,324708324.4883112,234320979.76372874,152014706.21152744
74,3250.0,5550.0,378645164.1403506,326972464.7122318,233103241.38054046,151902688.6838451
75,3250.0,5600.0,380246196.5366407,329310160.05695426,231960336.61269543,151999573.48946568
76,3250.0,5650.0,381937234.4026734,331720188.48029274,230890034.79160777,152202191.30656925
77,3250.0,5700.0,383718277.7384489,334203206.3911349,229870963.32691514,152277216.40768763
78,3250.0,5750.0,385589326.5439672,336759988.8338496,228896347.45282695,152447643.89385524
79,3250.0,5800.0,387550380.8192283,339388593.9602692,228032585.8042859,152711582.9295024
80,3250.0,5850.0,389601440.56423205,342089895.32733935,227214885.76113334,153147139.53628296
81,3250.0,5900.0,391742505.7789786,344862555.23471457,226469164.49717838,153617658.88056946
82,3250.0,5950.0,393973576.4634678,347706350.42380774,225726738.62027037,154037053.7664002
83,3250.0,6000.0,396294652.61769974,350622533.2324979,225013726.42365876,154679777.93411613
84,3250.0,6050.0,398705734.2416744,353611579.3859169,224346412.616559,155286195.888561
85,3250.0,6100.0,401206821.33539176,356677963.8796637,223777376.09707475,156204970.945888
86,3250.0,6150.0,403797913.8988523,359819746.0507036,223310902.21533597,156972727.76284096
87,3250.0,6200.0,406479011.9320551,363036161.9689516,222919692.8512249,157912442.43832523
88,3250.0,6250.0,409250115.4350008,366327940.7535855,222596026.70430842,159071863.92928228
89,3250.0,6300.0,412111224.4076893,369698574.9122254,222335667.716685,160402607.53342515
90,3250.0,6350.0,415062338.8501203,373146688.5243097,222179940.27089512,161597525.90520498
91,3250.0,6400.0,418103458.76229423,376671005.28212327,222109422.98421192,162992439.93811837
92,3250.0,6450.0,421234584.144211,380271969.3904323,222106307.75859272,164374780.62668124
93,3250.0,6500.0,424455714.9958706,383949786.4163505,222129618.548849,165921297.04720044
94,3250.0,6550.0,427766851.31727266,387704403.6357425,222244451.7426209,167705378.873136
95,3250.0,6600.0,431167993.1084175,391536879.65381604,222464435.23284736,169403580.6321057
96,3250.0,6650.0,434659140.3693049,395445724.6220393,222766943.36598822,171104236.4191763
97,3250.0,6700.0,438240293.09993535,399430838.55916846,223227135.12516415,173004503.13460973
98,3250.0,6750.0,441911451.30030847,403492202.2908818,223809241.45923415,175087540.84667474
99,3250.0,6800.0,445672614.97042435,407631684.0406425,224448754.2909267,177231962.63427842
100,3250.0,6850.0,449523784.1102829,411850644.25645614,225193172.83633026,179688232.40380228
101,3250.0,6900.0,453464958.7198845,416149221.2422382,226144464.28977138,182029199.72769687
102,3250.0,6950.0,457496138.7992286,420526575.0142196,227240834.07229084,184552382.5696741
103,3250.0,7000.0,461617324.3483151,424982545.9739947,228383978.40827358,187131464.3139598
104,3250.0,7050.0,465828515.36714464,429516533.23515296,229634948.85552108,189844841.63691625
105,3250.0,7100.0,470129711.855717,434130882.2245404,230957849.15508357,192650288.66093457
106,3250.0,7150.0,474520913.81403184,438823790.905699,232483187.19476023,195358700.87207043
107,3250.0,7200.0,479002121.24208987,443594845.34421015,234178138.6077034,198236663.50446808
108,3250.0,7250.0,483573334.13989043,448444431.3039,236023168.28954342,201412826.30236518
109,3250.0,7300.0,488234552.5074338,453373966.54982597,237959183.27350223,204518001.3071147
110,3250.0,7350.0,492985776.34471977,458383616.3694618,240071573.69487676,207852324.7014843
111,3250.0,7400.0,497827005.65174866,463474160.0954478,242306552.07197085,211188887.03148857
112,3250.0,7450.0,502758240.4285204,468645834.4134647,244653219.18037292,214691088.22523335
113,3250.0,7500.0,507779480.6750343,473898755.0433186,247213163.22821373,218145156.09858495
114,3250.0,7550.0,512890726.3912912,479231737.7907115,249858805.26679012,221735790.0736888
115,3250.0,7600.0,518091977.57729113,484645711.49839884,252661700.80327946,225372083.31946158
116,3250.0,7650.0,523383234.23303366,490140717.07794034,255531324.67124167,229170047.02453804
117,3250.0,7700.0,528764496.3585191,495717897.7791021,258723070.86601913,233079484.2244211
118,3250.0,7750.0,534235763.9537466,501377289.7952507,262117791.99184993,237008798.1207758
119,3250.0,7800.0,539797037.0187175,507118592.0103422,265451535.6912698,241092359.02001417
120,3250.0,7850.0,545448315.5534309,512942497.86362123,268909399.9343632,245233130.9054809
121,3250.0,7900.0,551189599.5578871,518848638.96310526,272461032.97293425,249682411.3625791
122,3250.0,7950.0,557020889.0320859,524836397.6116028,276194557.41324544,254173194.599432
123,3250.0,8000.0,562942183.9760277,530906179.0700247,280217665.08360696,258678622.43644133
124,3250.0,8050.0,568953484.3897121,537059273.3116312,284360898.83110875,263495462.7399563
125,3250.0,8100.0,575054790.2731392,543295615.9106007,288666275.3393007,268182318.08341736
126,3250.0,8150.0,581246101.6263089,549615065.3897065,293098491.3026738,273148500.8728355
127,3250.0,8200.0,587527418.4492216,556017564.9478235,297610869.62408787,278106840.625788
128,3250.0,8250.0,593898740.7418773,562503394.5500237,302164088.2061724,282941276.4618405
129,3250.0,8300.0,600360068.5042753,569072179.6067948,306905257.1749212,287995334.6413989
130,3250.0,8350.0,606911401.7364162,575723969.3644,311736347.2903235,293266808.7370922
131,3250.0,8400.0,613552740.4382998,582459400.0784931,316669031.34966695,298773444.2127278
